Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-04-18,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),14.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Form Submission,3.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),16.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Start Closing More,8.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-04-23,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-04-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-23,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-24,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-04-24,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-24,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-24,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Get Approved,3.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-04-26,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-04-26,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
