Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Days_Max_Date,Unnamed: 12,Goal.1
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,201,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,153,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,145,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,139,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,104,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,67,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,59,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,52,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,48,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),31,General traffic,6,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),30,General traffic,145,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),30,General traffic,151,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),30,General traffic,67,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,164,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,210,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,209,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,202,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,112,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,70,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),29,General traffic,68,NA,NA
