Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
2022-08-16,NA,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,73.0
2022-06-16,3,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0.0
2022-08-29,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,2,0,0.0
2022-06-09,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,50.0
2022-08-03,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-08-23,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0.0
2022-06-14,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0.0
2022-09-05,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0.0
2022-08-30,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0.0
2022-06-15,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184.0
2022-05-05,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105.0
2022-04-30,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-27,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0.0
2022-10-13,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0.0
2022-05-31,6,Trade Media Ads,ROS5,Trade Media,Housingwire,Campaign,4,0,1403.0
2022-09-09,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-05-03,NA,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-09-25,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,8,0,0.0
2022-07-02,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0.0
2022-06-04,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-07-23,4,CloserTwins,Competitors,Domain Display,NA,Campaign,3,0,0.0
2022-08-21,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-06-17,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0.0
2022-07-30,5,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0.0
2022-05-24,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0.0
2022-06-30,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,7.0
2022-09-09,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,17,0,0.0
2022-07-03,5,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0.0
2022-07-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,36.9999999999999
2022-04-16,6,CloserTwins,OTT_15,OTT,Video,Campaign,1,0,0.0
2022-04-29,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,1,0,0.0
2022-05-31,4,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0.0
2022-05-20,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,4,0,50.0
2022-05-24,2,UnfairAdvantage,1page,Facebook,Single image,Campaign,1,0,0.0
2022-05-09,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,0.0
2022-05-28,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,1,0,155.0
2022-07-24,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0.0
2022-08-13,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,8,0,0.0
2022-06-11,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0.0
2022-06-20,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,90,0,12846.9999999999
2022-09-17,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,6.0
2022-09-05,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0.0
2022-09-01,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-09-21,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0.0
2022-08-18,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0.0
2022-06-25,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0.0
2022-05-03,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,1,0,0.0
2022-07-13,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,3,0,0.0
2022-07-20,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-07-21,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,0.0
2022-08-08,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0.0
2022-08-26,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,6,0,0.0
2022-05-30,1,CloserTwins,Paperwork,Facebook,Video,Campaign,2,0,0.0
2022-07-02,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0.0
2022-05-26,6,Trade Media Ads,300x250,Trade Media,National_mortgage_news,Campaign,1,0,0.0
2022-08-15,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0.0
2022-10-14,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,15,0,0.0
2022-08-04,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0.0
2022-07-10,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-07-30,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0.0
2022-10-06,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0.0
2022-05-25,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0.0
2022-06-03,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0.0
2022-09-12,3,CloseFaster,MoreAll,User ID Display,NA,Campaign,13,0,0.0
2022-09-04,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0.0
2022-08-02,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-09-23,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,7,0,0.0
2022-06-20,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0.0
2022-10-04,4,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,40,0,0.0
2022-05-17,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0.0
2022-09-21,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,129.0
2022-07-30,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0.0
2022-06-22,3,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0.0
2022-05-26,4,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0.0
2022-04-22,NA,NA,NA,NA,NA,General traffic,1757,5,140327.999999999
2022-10-17,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,13,0,0.0
2022-04-25,1,CloserTwins,Faceoff1,Facebook,Video,Campaign,2,0,0.0
2022-05-20,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-04-25,3,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,5.0
2022-06-02,6,Trade Media Ads,ROS5,Trade Media,Housingwire,Campaign,2,0,0.0
2022-10-16,4,UnfairAdvantage,NoDTI,User ID Display,NA,Campaign,8,0,0.999999999999996
2022-04-28,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0.0
2022-08-11,1,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0.0
2022-06-11,5,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-07-22,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0.0
2022-08-17,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-05-08,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0.0
2022-08-10,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,6,0,1.99999999999999
2022-09-08,5,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0.0
2022-08-15,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,10,0,0.0
2022-07-30,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,10,0,0.0
2022-10-11,4,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,127,0,0.0
2022-09-13,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,4,0,216.0
2022-10-12,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,4,0,0.0
2022-05-02,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,2,0,0.0
2022-05-14,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-06-29,1,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0.0
2022-04-22,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,0.0
2022-10-30,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,66,0,6862.99999999997
2022-10-29,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,62,0,3546.99999999999
2022-06-08,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,4,0,292.0
2022-09-24,4,UnfairAdvantage,1099,User ID Display,NA,Campaign,13,0,0.0
2022-07-26,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,1,1,0.0
2022-10-17,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,6,0,0.0
2022-06-13,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,12,0,0.0
2022-06-03,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,3,0,63.9999999999999
2022-05-11,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0.0
2022-09-11,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,0.0
2022-09-02,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,80.0
2022-10-10,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-07-17,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,0.0
2022-07-30,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,7,0,0.0
2022-09-08,NA,NA,2022-06-09 00:00:00,NA,NA,General traffic,5,0,0.0
2022-07-30,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-07-13,5,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,4,0,66.0
2022-10-03,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0.0
2022-10-19,NA,UnfairAdvantage,1099,User ID Display,NA,Campaign,2,0,0.0
2022-10-31,5,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,13,0,0.0
2022-05-08,5,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-07-16,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-06-23,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0.0
2022-10-09,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,12,0,0.0
2022-10-19,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0.0
2022-05-25,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-08-28,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0.0
2022-05-05,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-09-30,4,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0.0
2022-08-19,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0.0
2022-06-26,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,235.0
2022-08-30,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0.0
2022-10-04,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,2.0
2022-06-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0.0
2022-10-12,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,5,0,0.0
2022-10-02,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0.0
2022-10-04,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,1,0,0.0
2022-05-04,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0.0
2022-09-23,1,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-04-30,1,CloserTwins,Faceoff1,Facebook,Video,Campaign,2,0,0.0
2022-04-18,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0.0
2022-05-13,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,127,0,15326.0
2022-06-20,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,6,0,1076.0
2022-09-28,4,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0.0
2022-10-24,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,14,0,0.0
2022-08-28,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,8,0,52.0
2022-09-17,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,12,0,0.0
2022-05-07,NA,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,1.0
2022-09-09,4,CloseFaster,MoreAll,User ID Display,NA,Campaign,34,0,0.0
2022-10-05,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,17,0,2205.99999999998
2022-06-03,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,43.9999999999998
2022-06-24,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,7,0,1998.0
2022-07-23,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0.0
2022-06-15,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,3,0,0.0
2022-08-03,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-08-04,6,Trade Media Ads,NA,Trade Media,Chrisman,General traffic,1,0,0.0
2022-09-30,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,7,0,0.0
2022-10-14,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,16,0,0.0
2022-08-11,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,7,0,739.999999999995
2022-09-24,3,CloseFaster,MoreAll,User ID Display,NA,Campaign,9,0,0.0
2022-04-23,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,4,0,0.0
2022-05-29,4,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,1,0,0.0
2022-09-21,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,25,24,264.0
2022-10-25,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,2,0,0.0
2022-07-24,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0.0
2022-06-15,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,6,0,313.999999999999
2022-06-13,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,2158.0
2022-07-18,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,91.0
2022-08-04,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0.0
2022-08-12,3,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0.0
2022-10-11,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-03,5,CloseFaster,MoreNoReg,User ID Display,NA,Campaign,6,0,0.0
2022-09-28,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,17.0
2022-05-03,4,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0.0
2022-07-18,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,7,0,0.0
2022-08-08,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,3,0,267.999999999999
2022-05-08,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,0.0
2022-05-12,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-05-22,1,CloseFaster,3steps,Facebook,Single image,Campaign,1,0,0.0
2022-08-10,1,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0.0
2022-08-04,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-10-16,4,UnfairAdvantage,NoDTI,Domain Display,NA,Campaign,6,0,0.0
2022-04-11,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,11,0,53.9999999999999
2022-06-19,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0.0
2022-08-29,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,115.0
2022-05-10,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0.0
2022-10-14,3,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,18,0,0.0
2022-05-25,5,CloserTwins,Namaste,LinkedIn,Video,Campaign,2,0,69.0
2022-08-16,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,3,0,0.0
2022-10-26,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,11,0,331.999999999999
2022-07-01,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0.0
2022-10-26,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,20,0,464.0
2022-06-04,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,6,0,0.0
2022-06-02,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0.0
2022-09-23,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0.0
2022-08-25,4,domain,ad1,LinkedIn,NA,Campaign,17,0,6.0
2022-05-07,1,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,2,0,0.0
2022-05-20,NA,NA,NA,NA,NA,General traffic,4512,474,1336978.99999999
2022-08-18,NA,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0.0
2022-07-09,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0.0
2022-07-27,4,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0.0
2022-04-29,4,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,2,0,0.0
2022-06-22,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-08-11,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-10-03,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,0.0
2022-09-13,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,40.0
2022-06-19,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,2,0,0.0
2022-06-13,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,6,0,908.0
2022-08-03,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,140.0
2022-07-31,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,9,0,0.0
2022-09-08,4,UnfairAdvantage,NoDTI,User ID Display,NA,Campaign,28,0,0.0
2022-04-06,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,46,0,85.9999999999998
2022-05-14,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0.0
2022-08-09,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,79.0
2022-10-02,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-10-06,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,2,0,0.0
2022-09-19,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,2,0,0.0
2022-05-25,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,524.0
2022-07-22,4,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0.0
2022-08-25,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0.0
2022-05-20,1,CloserTwins,Faceoff2,Facebook,Video,Campaign,1,0,0.0
2022-09-16,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,106,0,9833.99999999996
2022-07-24,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-10-07,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,14,0,0.0
2022-05-27,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0.0
2022-05-01,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-08-02,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0.0
2022-06-17,2,CloserTwins,Faceoff2,Facebook,Video,Campaign,1,0,0.0
2022-09-21,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-05-23,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-07-01,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,0.0
2022-07-02,3,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-05-26,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0.0
2022-08-02,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,21.0
2022-07-10,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,2,0,44.0
2022-10-11,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,36,0,0.0
2022-08-23,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,16.0
2022-09-02,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0.0
2022-08-21,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0.0
2022-04-20,4,CloserTwins,MoreLoans,LinkedIn,Video,Campaign,2,0,0.0
2022-06-12,1,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-06-05,1,UnfairAdvantage,All,Facebook,Carousel,Campaign,1,0,0.0
2022-10-22,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,16,0,4.0
2022-05-21,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-05-27,1,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,1,0,0.0
2022-08-21,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0.0
2022-09-08,4,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0.0
2022-05-05,5,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,3,0,0.0
2022-08-29,NA,August,August,NA,NA,General traffic,7,0,50.0
2022-05-06,1,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,0.0
2022-05-11,6,CloserTwins,OTT_30QR,OTT,Video,Campaign,2,0,0.0
2022-06-12,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,2,0,0.0
2022-07-28,1,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0.0
2022-04-27,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0.0
2022-08-24,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-10-27,NA,NA,NA,NA,NA,General traffic,2835,394,1225943.99999999
2022-05-17,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-05-09,3,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,2,0,275.0
2022-05-31,1,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0.0
2022-08-04,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,0.0
2022-06-30,NA,NA,NA,NA,NA,General traffic,2664,406,747411.999999999
2022-06-14,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-23,2,CloseFaster,MoreAll,User ID Display,NA,Campaign,7,0,0.0
2022-08-20,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,0.0
2022-04-20,1,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0.0
2022-07-17,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,13,0,1560.99999999999
2022-10-25,3,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,1,0,0.0
2022-10-19,4,UnfairAdvantage,1099,Domain Display,NA,Campaign,74,0,2245.99999999999
2022-07-27,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,3,0,0.0
2022-06-02,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-05-09,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-05-01,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0.0
2022-08-15,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,2.0
2022-07-03,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,5,0,0.0
2022-04-29,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-10-04,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,25,0,0.0
2022-07-24,3,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-02,NA,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-06-24,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,27.0
2022-07-10,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0.0
2022-09-08,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,34,32,378.999999999999
2022-08-12,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,3,0,0.0
2022-05-08,1,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0.0
2022-09-01,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0.0
2022-05-04,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,5,0,188.0
2022-04-28,1,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,1,0,0.0
2022-06-15,4,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,2,0,2.0
2022-09-14,3,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-10-23,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,17,0,27.0
2022-05-26,3,CloserTwins,ShapeUp,Facebook,Video,Campaign,1,0,0.0
2022-05-02,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,6,0,0.0
2022-04-25,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0.0
2022-08-27,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,5,0,0.0
2022-06-15,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,10,0,81.9999999999996
2022-06-25,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-07-26,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,360.0
2022-08-28,NA,NA,August/,NA,NA,General traffic,1,0,0.0
2022-05-16,4,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0.0
2022-07-28,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,15,0,0.0
2022-10-12,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,532.999999999998
2022-09-13,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,9,0,0.0
2022-10-17,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,8,0,0.0
2022-04-11,6,CompetitiveOpportunity,Cancelingyourlock,LinkedIn,Single image,Campaign,3,0,0.0
