Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
2022-04-26,3,CloserTwins,MoreLoans,LinkedIn,Video,Campaign,1,0,0.0
2022-10-14,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0.0
2022-08-07,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,254.0
2022-06-19,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,0.0
2022-08-03,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,165.0
2022-06-23,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0.0
2022-10-17,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,28,0,116.0
2022-05-31,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0.0
2022-09-12,3,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0.0
2022-04-27,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,6,0,0.0
2022-08-26,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,7,0,0.0
2022-10-08,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,5,0,0.0
2022-10-27,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,3,0,1.99999999999999
2022-05-06,2,UnfairAdvantage,1099,Facebook,Single image,Campaign,1,0,0.0
2022-04-29,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,7,0,978.0
2022-05-15,5,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0.0
2022-08-18,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,2,0,0.0
2022-10-29,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,6,0,0.0
2022-10-05,1,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0.0
2022-10-18,3,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-08-21,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0.0
2022-05-11,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-10-22,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,10,0,0.0
2022-09-14,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,3,0,0.0
2022-08-17,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0.0
2022-07-01,5,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,0.0
2022-04-08,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,8,0,8.0
2022-06-29,2,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0.0
2022-05-17,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,4,0,0.0
2022-07-04,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,5,0,0.0
2022-09-03,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,6,0,0.0
2022-09-25,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,28,0,0.0
2022-08-05,1,CloserTwins,Namaste,Facebook,Video,Campaign,1,0,0.0
2022-05-10,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,3,0,0.0
2022-08-08,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,2,0,0.0
2022-07-28,1,UnfairAdvantage,1page,Facebook,Single image,Campaign,2,0,0.0
2022-05-17,5,CloserTwins,interactive,Domain Display,NA,Campaign,1,0,0.0
2022-09-06,1,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0.0
2022-05-21,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0.0
2022-08-07,5,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0.0
2022-08-18,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,1.0
2022-07-19,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0.0
